name,PSNR,SSIM
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_8_Focus_0_9.338.PNG'], 30.82, 0.8246
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_18_Both_3_-11.713.PNG'], 28.58, 0.7676
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Vibration_4_0.0.PNG'], 37.00, 0.9129
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_10_Vibration_2_0.0.PNG'], 40.25, 0.9644
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_8_Focus_0_-1.973.PNG'], 36.18, 0.9348
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Vibration_5_0.0.PNG'], 34.29, 0.8889
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Both_7_-5.034.PNG'], 38.15, 0.9432
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Vibration_6_0.0.PNG'], 38.78, 0.9497
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_11_Both_5_-5.69.PNG'], 32.10, 0.8775
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_8_Both_9_1.011.PNG'], 34.57, 0.8940
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Vibration_2_0.0.PNG'], 39.62, 0.9562
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_7_14_Both_9_3.127.PNG'], 32.52, 0.8569
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_10_Both_7_8.5.PNG'], 29.76, 0.7928
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Vibration_6_0.0.PNG'], 40.02, 0.9602
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_3_ZStack_0_3980.962.PNG'], 41.75, 0.9637
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_11_Focus_0_-8.141.PNG'], 30.15, 0.8109
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_Focus_0_7.94.PNG'], 31.06, 0.8280
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_4_Vibration_8_0.0.PNG'], 35.07, 0.9012
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_5_Both_9_0.917.PNG'], 34.84, 0.8987
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Vibration_6_0.0.PNG'], 39.64, 0.9594
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Vibration_3_0.0.PNG'], 39.12, 0.9503
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Both_4_1.612.PNG'], 40.84, 0.9541
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_7_14_Vibration_4_0.0.PNG'], 38.09, 0.9422
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Both_7_11.632.PNG'], 28.29, 0.7518
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Both_2_9.215.PNG'], 34.36, 0.8871
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Focus_0_-0.598.PNG'], 40.45, 0.9689
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_9_Vibration_2_0.0.PNG'], 40.17, 0.9467
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_16_Both_1_-1.67.PNG'], 35.33, 0.9226
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_4_Both_3_6.691.PNG'], 31.21, 0.8194
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_5_Focus_0_5.598.PNG'], 32.51, 0.8534
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Vibration_3_0.0.PNG'], 41.30, 0.9549
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Both_2_5.002.PNG'], 32.17, 0.8389
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_13_Vibration_6_0.0.PNG'], 39.72, 0.9595
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_11_19_Vibration_8_0.0.PNG'], 36.14, 0.9172
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_11_ZStack_0_4019.848.PNG'], 39.76, 0.9628
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_7_14_Vibration_3_0.0.PNG'], 38.98, 0.9495
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_11_19_Focus_0_7.296.PNG'], 31.56, 0.8353
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Vibration_2_0.0.PNG'], 41.31, 0.9577
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Focus_0_-9.774.PNG'], 33.75, 0.8816
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_4_Focus_0_-4.276.PNG'], 34.50, 0.8990
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Vibration_5_0.0.PNG'], 41.83, 0.9583
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_21_ZStack_0_4073.984.PNG'], 39.03, 0.9603
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_4_Focus_0_-12.069.PNG'], 37.44, 0.9501
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_15_Both_8_-11.617.PNG'], 28.18, 0.7479
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Focus_0_-11.315.PNG'], 33.70, 0.8820
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Vibration_6_0.0.PNG'], 42.27, 0.9600
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_13_Focus_0_11.883.PNG'], 29.93, 0.8088
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_Both_2_0.766.PNG'], 39.56, 0.9459
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_8_Both_3_-9.095.PNG'], 29.79, 0.7959
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_3_Both_8_-9.233.PNG'], 32.40, 0.8586
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_8_Focus_0_-5.322.PNG'], 32.66, 0.8596
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_3_Vibration_1_0.0.PNG'], 39.80, 0.9584
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_13_Both_7_0.261.PNG'], 32.60, 0.8710
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_18_Both_4_9.542.PNG'], 30.51, 0.8101
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_15_Focus_0_-9.299.PNG'], 29.47, 0.7849
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_10_Vibration_7_0.0.PNG'], 32.86, 0.8679
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_16_Focus_0_11.945.PNG'], 30.09, 0.8024
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_15_Focus_0_3.157.PNG'], 35.20, 0.9124
